"site","comid","id","fdate","resolution","gnis_id","gnis_name","lengthkm","reachcode","flowdir","wbareacomi","ftype","fcode","shape_length","streamleve","streamorde","streamcalc","fromnode","tonode","hydroseq","levelpathi","pathlength","terminalpa","arbolatesu","divergence","startflag","terminalfl","dnlevel","uplevelpat","uphydroseq","dnlevelpat","dnminorhyd","dndraincou","dnhydroseq","frommeas","tomeas","rtndiv","vpuin","vpuout","areasqkm","totdasqkm","divdasqkm","tidal","totma","wbareatype","pathtimema","hwnodesqkm","maxelevraw","minelevraw","maxelevsmo","minelevsmo","slope","elevfixed","hwtype","slopelenkm","qa_ma","va_ma","qc_ma","vc_ma","qe_ma","ve_ma","qa_01","va_01","qc_01","vc_01","qe_01","ve_01","qa_02","va_02","qc_02","vc_02","qe_02","ve_02","qa_03","va_03","qc_03","vc_03","qe_03","ve_03","qa_04","va_04","qc_04","vc_04","qe_04","ve_04","qa_05","va_05","qc_05","vc_05","qe_05","ve_05","qa_06","va_06","qc_06","vc_06","qe_06","ve_06","qa_07","va_07","qc_07","vc_07","qe_07","ve_07","qa_08","va_08","qc_08","vc_08","qe_08","ve_08","qa_09","va_09","qc_09","vc_09","qe_09","ve_09","qa_10","va_10","qc_10","vc_10","qe_10","ve_10","qa_11","va_11","qc_11","vc_11","qe_11","ve_11","qa_12","va_12","qc_12","vc_12","qe_12","ve_12","lakefract","surfarea","rareahload","rpuid","vpuid","enabled","huc2","huc4","huc6","huc8","huc10","huc12","WsPctFull.x","PctAg2006Slp10Ws","PctAg2006Slp20Ws","WsPctFull.y","CanalDensWs","WsPctFull.x.x","CoalMineDensWs","WsPctFull.y.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","WsPctFull.x.x.x","PctImp2006Ws","PctImp2008Ws","PctImp2011Ws","PctImp2001Ws","PctImp2013Ws","PctImp2019Ws","PctImp2016Ws","PctImp2004Ws","WsPctFull.y.y.y","PctOw2016Ws","PctIce2016Ws","PctUrbOp2016Ws","PctUrbLo2016Ws","PctUrbMd2016Ws","PctUrbHi2016Ws","PctBl2016Ws","PctDecid2016Ws","PctConif2016Ws","PctMxFst2016Ws","PctShrb2016Ws","PctGrs2016Ws","PctHay2016Ws","PctCrop2016Ws","PctWdWet2016Ws","PctHbWet2016Ws","AriditySite","AridityWs","OmernikIIISite","OmernikIISite","OmernikISite","OmernikIIIWs","OmernikIIWs","OmernikIWs","TmeanSite","TmaxSite","TminSite","PrecipSite","AluminumSite","CalciumSite","CopperSite","IronSite","ManganeseSite","PhosphSite","AluminumWs","CalciumWs","CopperWs","IronWs","ManganeseWs","PhosphWs","geometry"
"BLU-BLU",23773405,"nhdflowline_network.2502362","2001-02-12 21:00:00","Medium","1117862","Blue River","1.744","17090004000319","With Digitized","0","StreamRiver","46006","0.016864523080427","4","4","4","50076930","50076929","50044854","50040829","523.944","50001315","134.908","0","0","0","4","50040829","50047302","50040829","0","1","50042717","0","100","0","0","0","1.3392","227.9673","227.9673","0","0.0323220677389"," ","3.58439805156",NA,"-9998","32078","39450","32268","0.04118119","0"," ","1.744","449.454","2.04317","457.985","2.04581","468.106","2.04889","759.737","2.60084","1076.509","3.04362","878.368","2.73955","780.426","2.63378","1052.008","3.01038","428.667","1.96942","767.539","2.61331","905.392","2.8034","410.194","1.93102","667.544","2.44865","723.465","2.52323","354.837","1.81079","488.738","2.1221","546.9","2.21746","329.575","1.75301","277.065","1.65016","283.843","1.65604","242.514","1.53588","139.387","1.24004","98.572","1.07695","296.462","1.67403","72.845","0.96848","46.127","0.8219","399.374","1.90815","46.147","0.82639","43.415","0.80564","279.097","1.63096","105.32","1.11122","100.444","1.08467","331.797","1.75818","573.086","2.28209","597.799","2.30983","694.766","2.45492","718.568","2.53401","986.165","2.91922","957.794","2.85391",NA,NA,NA,"17c","17","1","HUC-17","HUC-1709","HUC-170900","HUC-17090004","HUC-1709000404","HUC-170900040403",100,0,0,100,0,100,0,100,0.0044,481559.0657,449094.4096,100,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,100,0.6,0,0.13,0.03,0,0,0.73,0,91.51,0.13,6.57,0.25,0.01,0,0.02,0,0.432999951171875,1.49426066867994,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",1.8449000120163,9.10999965667725,-5.41769981384277,1080.23303222656,5.98308610916138,2.14109659194946,90,3.62005066871643,850.951293945312,0.113684423267841,9.17861260833411,2.79397578400442,52,5.78685424725215,963.079297471321,0.105774630626514,c(-107.000601, 38.999288)
"BLU-TID",23773429,"nhdflowline_network.2502369","2001-02-12 21:00:00","Medium","1117862","Blue River","1.468","17090004000327","With Digitized","0","StreamRiver","46006","0.0138996874770719","4","3","3","50076940","50076939","50057203","50040829","534.167","50001315","73.467","0","0","0","4","50040829","50061820","50040829","0","1","50053363","0","100","0","0","0","1.2159","119.3625","119.3625","0","0.0386169156542"," ","47.5414287237",NA,"-9998","41269","43470","42448","0.00696185","0"," ","1.468","242.062","1.43801","242.764","1.43827","257.043","1.44351","399.744","1.78278","660.838","2.23135","474.499","1.88024","413.843","1.81017","675.74","2.25425","473.662","1.87877","410.355","1.80343","548.363","2.04997","400.255","1.74444","362.291","1.70774","398.475","1.77837","351.05","1.64782","270.417","1.50644","287.684","1.54486","256.392","1.44199","155.333","1.20093","150.496","1.18492","128.41","1.09362","77.854","0.92688","54.372","0.81887","40.31","0.73282","40.595","0.74608","27.137","0.66135","20.639","0.60585","25.334","0.64914","26.419","0.65636","25.625","0.64207","59.703","0.84557","62.066","0.85604","66.599","0.86249","308.886","1.59412","327.911","1.63385","344.603","1.6347","381.817","1.74729","568.941","2.08438","515.162","1.95039",NA,NA,NA,"17c","17","1","HUC-17","HUC-1709","HUC-170900","HUC-17090004","HUC-1709000404","HUC-170900040402",100,0,0,100,0,100,0,100,0,0,0,100,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,100,0.01,0,0,0,0,0,0,0,91.04,0.07,8.61,0.24,0,0,0.03,0,0.4222,1.54697755869709,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",2.00499987602234,9.63000011444092,-5.62439966201782,1011.251953125,5.95724105834961,2.15657663345337,90,3.60555076599121,849.136108398438,0.113732129335403,9.20833290540255,2.83725143297688,52,5.80598049307917,969.689536545303,0.106684706961879,c(-107.000601, 38.987785)
"BRO-LAP",23700569,"nhdflowline_network.2487863","2005-07-20 21:00:00","Medium"," "," ","3.889","17070301000991","With Digitized","0","StreamRiver","46006","0.0419396701721156","3","2","2","50070539","50070538","50075253","50067825","691.465","50001315","26.206","0","0","0","3","50067825","50085228","50067825","0","1","50067825","0","36.648","0","0","0","9.054","51.8805","51.8805","0","0.130086741984"," ","206.195349194",NA,"-9998","132385","134497","132385","0.0054307","0"," ","3.889","49.786","1.15235","47.941","1.14977","38.645","1.13521","27.16","0.92014","85.632","1.45329","34.854","1.0911","32.069","0.97656","113.424","1.63757","33.634","1.07643","50.314","1.15709","102.133","1.56559","34.608","1.08816","65.234","1.28258","74.78","1.3738","36.361","1.10889","72.425","1.3382","68.851","1.32808","36.524","1.11079","71.827","1.33368","64.602","1.29416","37.76","1.1251","63.038","1.26502","43.825","1.11061","39.516","1.14505","52.943","1.18036","34.531","1.01524","42.414","1.17709","44.773","1.1061","42.342","1.09608","42.949","1.18289","42.191","1.08134","46.235","1.13374","41.811","1.17051","44.321","1.10182","49.718","1.16619","40.324","1.15409","31.499","0.97023","64.937","1.29688","37.781","1.12534",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070301","HUC-1707030102","HUC-170703010207",100,0,0,100,0,100,0,100,0,0,0,100,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,100,0.26,0,1.47,0.04,0.02,0,0.11,0,89.96,0,6.35,0.39,0,0,1.08,0.32,0.59679951171875,0.910119730536882,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",-0.5,6.29999971389771,-7.29539966583252,1225.87097167969,6.00750064849854,2.07209944725037,90,3.87705206871033,838.923156738281,0.0940257161855698,9.03993648098361,2.75256469403544,52,4.72105611370456,978.007627228768,0.148206140245161,c(-107.043915, 38.983947)
"CT-BUNN",6109247,"nhdflowline_network.52516","2008-07-20 21:00:00","Medium","205839","Bunnell Brook","2.583","01080207000226","With Digitized","0","StreamRiver","46006","0.0274650710674098","4","1","1","150058709","150025056","150058008","150021701","157.47","150002258","2.583","0","1","0","4","0","0","150021701","0","1","150043037","0","100","0","0","0","10.5084","10.5084","10.5084","0","0.101400245772"," ","2.28513800398","6.7158","23629","20915","23629","20915","0.01115495","0","H","2.433","8.928","0.95765","10.054","0.96392","10.71","0.96729","3.755","0.7183","10.4","0.97581","12.578","1.02601","1.885","0.59268","9.688","0.95114","11.891","1.00493","6.823","0.87126","78.08","2.25506","19.634","1.21744","19.618","1.2946","33.176","1.54409","17.681","1.16825","20.125","1.30805","16.119","1.15066","13.139","1.04283","10.663","1.02185","8.696","0.91531","8.494","0.89097","5.72","0.82095","3.993","0.70985","4.731","0.73536","3.95","0.72946","3.747","0.69652","4.745","0.73603","6.393","0.85213","6.593","0.83233","5.488","0.77038","9.27","0.97074","8.476","0.90711","7.704","0.86154","11.401","1.04766","9.754","0.95346","10.548","0.96198","7.617","0.90514","11.431","1.01017","11.969","1.00735",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020704","HUC-010802070405",100,1.28,0.02,100,0,100,0,100,0,0,0,100,3.03,3.04,3.28,2.75,3.34,3.43,3.35,2.9,100,0.43,0,7.58,4.7,1.59,0.34,0.01,50.54,2.71,10.9,0.48,0.97,9.43,0.09,10.14,0.08,0.4236,1.14523532284007,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS",2.12999987602234,10.3299999237061,-6.06579971313477,928.975952148438,5.94054985046387,2.13406038284302,90,3.6045458316803,847.846069335938,0.113539561629295,5.81989329091964,1.72441048391404,95.7867973081527,3.22741070485884,1438.41892168599,0.0757430724559292,c(-106.989773, 38.95442)
"CT-EBRA",4570659,"nhdflowline_network.40763","1999-08-12 21:00:00","Medium","1457259","East Branch Passumpsic River","4.801","01080102000034","With Digitized","0","StreamRiver","46006","0.047066986662957","3","3","3","150015679","150015658","150022019","150017737","502.273","150002258","42.982","0","0","0","3","150017737","150035804","150017737","0","1","150020307","0","100","0","0","0","22.2633","139.3335","139.3335","0","0.136477665867"," ","10.0211943112",NA,"-9998","28736","31114","28893","0.00462611","0"," ","4.801","108.251","1.32322","116.917","1.32957","126.04","1.3358","31.788","0.83782","79.409","1.13994","86.259","1.14841","15.929","0.67522","71.44","1.09453","68.924","1.05407","8.236","0.56683","90.067","1.19745","144.033","1.41124","93.924","1.24953","185.885","1.61464","283.232","1.88768","280.059","1.98951","212.799","1.71188","237.323","1.74613","214.385","1.76711","119.111","1.3397","119.912","1.30897","123.369","1.39617","66.022","1.06229","85.797","1.14601","98.241","1.27226","63.242","1.04526","65.176","1.03225","112.917","1.34622","73.476","1.10635","78.59","1.10788","126.862","1.41241","95.051","1.22325","101.448","1.22396","130.415","1.42873","107.636","1.28569","110.972","1.26864","63.595","1.07351","95.52","1.22564","108.164","1.25566",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010801","HUC-01080102","HUC-0108010201","HUC-010801020101",100,0.24,0,100,0,100,0,100,0,0,0,100,0.4,0.41,0.41,0.39,0.42,0.44,0.43,0.39,100,0.7,0,2.51,0.69,0.15,0.01,0,52.42,9.75,23.75,3.13,1.09,1.03,0,4.64,0.13,0.3808,1.35829821201046,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",1.70489990711212,10.3599996566772,-6.95019960403442,503.317993164062,6.53918981552124,1.95471894741058,90,4.0677638053894,784.8095703125,0.124318473041058,4.99572836710642,2.49340451405813,98.1474318403829,2.03277311727091,660.205844066182,0.0500994572193477,c(-106.562297, 38.870538)
"CT-FARM",6109717,"nhdflowline_network.52264","2008-07-20 21:00:00","Medium","207042","Farmington River","1.046","01080207000003","With Digitized","120049705","ArtificialPath","55800","0.01061576136615","2","5","5","150025032","150024941","150004411","150004064","111.233","150002258","890.662","0","0","0","2","150004064","150004437","150004064","150004382","2","150004383","94.75405","100","0","0","0","0.5454","1492.9416","1492.9416","0","0.0206063868519","StreamRiver","0.630820178458",NA,"-9998","5333","5627","5333","0.0028107","0"," ","1.046","1211.182","1.93074","1256.376","1.93556","1181.934","1.92753","513.89","1.33743","1122.069","1.84075","1248.158","1.97509","276.182","1.0484","1032.041","1.77419","1313.757","2.02105","1020.455","1.78965","3487.414","3.10654","1640.285","2.2353","2685.036","2.78429","7440.914","4.4928","1392.431","2.07476","2762.594","2.82201","2005.09","2.39401","1403.64","2.0823","1469.763","2.10631","638.384","1.44419","1273.205","1.99277","792.887","1.60391","361.245","1.14784","769.538","1.59761","521.661","1.34567","274.577","1.03405","730.169","1.56216","723.591","1.5425","349.545","1.13329","750.896","1.58093","1184.287","1.91151","748.561","1.54439","822.989","1.64441","1548.803","2.15702","1232.522","1.91909","949.082","1.74947","1043.516","1.80733","1569.075","2.13939","1127.109","1.88721",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020706","HUC-010802070602",100,0.84,0.06,100,0,100,0,100,0.0516,328642.1825,204483.5438,100,3.98,4.02,4.13,3.76,4.21,4.33,4.25,3.85,100,3,0,8.07,4.85,2.63,0.56,0.2,30.51,3.51,34.04,0.43,0.58,2.45,0.89,7.95,0.33,0.273900048828125,1.14629626433517,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",3.25989985466003,12.0999994277954,-5.57959985733032,403.802001953125,6.2500057220459,2.28079628944397,89.9631576538086,4.44764280319214,852.825561523438,0.107937142252922,5.69829401532782,1.87197246582892,98.0204236788195,2.89612511661227,1199.28356794405,0.0755496955427462,c(-106.85461, 38.677325)
"CT-MOOS",4570675,"nhdflowline_network.40733","1999-08-12 21:00:00","Medium","1458528","Moose River","3.068","01080102000010","With Digitized","0","StreamRiver","46006","0.0346845724703801","3","3","3","150015686","150015732","150017736","150012340","493.329","150002258","86.373","0","0","0","3","150012340","150018900","150012340","0","1","150016727","72.71698","100","0","0","0","15.2145","208.9341","208.9341","0","0.077725353845"," ","9.63887653484",NA,"-9998","32214","34362","32214","0.0070013","0"," ","3.068","158.375","1.4957","169.969","1.50252","163.67","1.49887","46.308","0.9264","113.595","1.27249","97.484","1.21252","23.411","0.73861","102.442","1.22101","92.684","1.1886","12.159","0.61221","121.04","1.30554","210.424","1.66879","149.35","1.45928","309.669","1.95045","477.583","2.41061","407.063","2.26841","306.994","1.94291","279.024","1.88869","314.604","2.01779","166.425","1.48923","114.747","1.29428","182.078","1.58697","94.214","1.18132","82.562","1.13617","143.659","1.43578","88.337","1.15197","88.852","1.16908","155.188","1.48296","95.961","1.18988","81.827","1.13225","184.068","1.59437","134.059","1.36112","138.69","1.39865","190.557","1.61825","156.398","1.4509","163.483","1.49815","92.948","1.20307","139.628","1.38412","136.335","1.38878",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010801","HUC-01080102","HUC-0108010202","HUC-010801020202",100,0.07,0,100,0,100,0,100,0.0048,897.3593,749.7673,100,0.16,0.16,0.16,0.15,0.16,0.18,0.17,0.15,100,0.1,0,1.38,0.23,0.06,0,0,46.6,12.77,25.91,5.78,0.33,0.18,0,6.51,0.16,0.394800415039062,1.2882737287454,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",1.6049998998642,10.460000038147,-7.25329971313477,530.572998046875,6.47999286651611,1.98724842071533,90,4.06653261184692,785.410278320312,0.124131947755814,5.08011649188048,2.41885640449035,98.5980781472248,2.37249818277655,777.193797567616,0.0529685598069235,c(-106.605516, 38.818742)
"CT-NEPA",6109457,"nhdflowline_network.52523","1999-09-05 21:00:00","Medium","209213","Nepaug River","6.224","01080207000232","With Digitized","0","StreamRiver","46006","0.0668379773660667","4","3","3","150024914","150024992","150018691","150014963","163.575","150002258","42.565","0","0","0","4","150014963","150020047","150014963","0","1","150017550","0","94.19421","0","0","0","12.267","62.0703","62.0703","0","0.244291228292"," ","180.512850723",NA,"-9998","15531","16090","15531","0.00089813","0"," ","6.224","52.941","0.96273","57.868","0.96746","57.868","0.96746","22.977","0.72846","58.306","0.97011","58.306","0.97011","11.518","0.5995","52.741","0.93578","52.741","0.93578","43.477","0.89776","318.228","1.93781","318.228","1.93781","118.913","1.31397","240.98","1.71415","240.98","1.71415","116.384","1.30256","90.001","1.14166","90.001","1.14166","61.619","1.01766","40.154","0.85121","40.154","0.85121","33.303","0.81996","19.96","0.6829","19.96","0.6829","22.392","0.72274","17.228","0.65474","17.228","0.65474","36.93","0.84883","28.748","0.76296","28.748","0.76296","54.133","0.97051","43.276","0.87323","43.276","0.87323","67.27","1.05149","56.065","0.95648","56.065","0.95648","46.676","0.9204","70.099","1.03811","70.099","1.03811",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020704","HUC-010802070401",100,2.4,0.2,100,0,100,0,100,0.0161,1152.5938,1152.5938,100,1.41,1.47,1.57,1.28,1.61,1.67,1.63,1.37,100,0.19,0,6.55,2.45,0.66,0.09,0.1,34.11,5.7,35.44,0.46,0.66,5.78,0.36,6.94,0.51,0.1215,1.14350720542043,"Colorado Plateaus","COLD DESERTS","NORTH AMERICAN DESERTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",11.7599000930786,19.2398986816406,4.27539968490601,237.705993652344,4.07897663116455,2.43733072280884,89.4187774658203,1.67460525035858,322.900268554688,0.0467790812253952,5.98749615645863,1.90098532668901,96.0045634381453,3.18865231142382,1387.78037455296,0.0804597438802836,c(-108.453774, 38.97856)
"CT-PASS",4572379,"nhdflowline_network.40915","2008-07-09 21:00:00","Medium","1458902","Passumpsic River","2.87","01080102000171","With Digitized","120049669","ArtificialPath","55800","0.0306448826559533","2","4","4","150015768","150015776","150010058","150003857","459.512","150002258","510.031","0","0","0","2","150003857","150010322","150003857","0","1","150009823","0","36.76716","0","0","0","5.6574","1125.1035","1125.1035","0","0.0535233662234","StreamRiver","8.75513795639",NA,"-9998","14610","16517","14610","0.00664459","0"," ","2.87","745.092","2.0231","779.199","2.02933","818.2","2.03615","232.711","1.23272","527.966","1.70799","576.263","1.74271","116.596","0.9488","460.405","1.60984","554.675","1.71392","62.948","0.77003","421.379","1.55005","1132.364","2.36155","879.226","2.18065","2178.184","3.27888","2160.361","3.20166","2020.288","3.22059","1475.54","2.72392","1325.199","2.54035","1343.149","2.65306","590.15","1.79324","657.432","1.84667","757.446","2.03814","346.466","1.42747","461.373","1.58297","594.25","1.82903","307.909","1.35951","439.478","1.55049","661.586","1.91822","324.217","1.38872","402.377","1.49366","853.969","2.15189","553.381","1.74337","627.763","1.80941","958.054","2.26798","767.825","2.01595","764.888","1.97543","466.045","1.64493","700.545","1.93479","715.981","1.91795",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010801","HUC-01080102","HUC-0108010204","HUC-010801020403",100,4.21,0.59,100,0,100,0,100,0.0107,4454.3717,2990.7768,100,1.55,1.57,1.58,1.51,1.6,1.64,1.63,1.53,100,0.36,0,3.34,1.89,0.99,0.22,0.09,34.11,15.41,26.68,3.06,1.35,7.68,0.52,4.07,0.24,0.217200024414062,1.24924352645211,"Colorado Plateaus","COLD DESERTS","NORTH AMERICAN DESERTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",7.19999980926514,16.0299987792969,-1.63229990005493,468.744995117188,5.2302041053772,3.06418490409851,89.9170837402344,2.78287506103516,522.507019042969,0.0682236850261688,4.52575119719531,2.31858416241233,98.5687794277275,2.21724495742895,721.438647741053,0.0493462972121461,c(-107.648756, 38.528285)
"CT-PHEL",6109235,"nhdflowline_network.52531","1999-09-05 21:00:00","Medium","209730","Phelps Brook","5.659","01080207000238","With Digitized","0","StreamRiver","46006","0.0605752921220155","5","1","1","150058708","150024993","150058009","150043045","163.783","150002258","5.659","0","1","0","5","0","0","150043045","0","1","150043045","0","100","0","0","0","7.8183","7.8183","7.8183","0","0.21845034759"," ","193.196857235","0.0891","26667","15275","26667","15275","0.02068264","0","H","5.508","6.567","0.97695","7.433","0.98369","7.433","0.98369","2.963","0.74653","8.302","1.02453","8.302","1.02453","1.485","0.61199","7.753","0.99898","7.753","0.99898","5.612","0.92343","67.326","2.48448","67.326","2.48448","15.087","1.34822","24.85","1.59022","24.85","1.59022","13.985","1.30717","11.284","1.15128","11.284","1.15128","7.361","1.01873","6.294","0.92661","6.294","0.92661","3.983","0.82105","2.868","0.71566","2.868","0.71566","2.599","0.71707","2.593","0.69444","2.593","0.69444","4.534","0.85757","4.94","0.85199","4.94","0.85199","6.75","0.98678","6.323","0.92812","6.323","0.92812","8.407","1.07066","7.224","0.97354","7.224","0.97354","6.027","0.94717","9.045","1.05788","9.045","1.05788",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020704","HUC-010802070401",100,0.59,0,100,0,100,0,100,0,0,0,100,1.51,1.51,1.52,1.45,1.56,1.59,1.57,1.48,100,0.25,0,6,3.27,0.3,0,0,49.95,2.59,19.28,0.08,0.31,4.29,0,13.54,0.14,0.199999963378906,1.128575,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS",3.57489991188049,12.7599992752075,-5.60969972610474,263.915008544922,6.26617622375488,2.61179661750793,90,4.57657957077026,961.368591308594,0.161198765039444,5.80362925630935,1.72105038419683,95.7393740390209,3.20405468534916,1362.31926321476,0.0761903636950128,c(-106.954043, 38.530225)
